seed,time,mode,risk,coverage,drift
0,0,global_decay,0.0,0.2590909090909091,0.0
0,0,stability_aware,0.0,0.0,0.0
0,0,static,0.0,0.2590909090909091,0.0
0,1,global_decay,0.0092592592592592,0.4909090909090909,0.0
0,1,stability_aware,0.0,0.0,0.0
0,1,static,0.0091743119266055,0.4954545454545455,0.0
0,2,global_decay,0.0496453900709219,0.6409090909090909,0.0
0,2,stability_aware,0.0,0.0181818181818181,0.0
0,2,static,0.0496453900709219,0.6409090909090909,0.0
0,3,global_decay,0.0445859872611464,0.7136363636363636,0.0
0,3,stability_aware,0.1428571428571428,0.0318181818181818,0.0
0,3,static,0.0445859872611464,0.7136363636363636,0.0
0,4,global_decay,0.0650887573964497,0.7681818181818182,0.0
0,4,stability_aware,0.0,0.0227272727272727,0.0
0,4,static,0.0647058823529411,0.7727272727272727,0.0
0,5,global_decay,0.064516129032258,0.8454545454545455,0.0
0,5,stability_aware,0.0,0.0363636363636363,0.0
0,5,static,0.0695187165775401,0.85,0.0
0,6,global_decay,0.053475935828877,0.85,0.0
0,6,stability_aware,0.0,0.0454545454545454,0.0
0,6,static,0.0578947368421052,0.8636363636363636,0.0
0,7,global_decay,0.0575916230366492,0.8681818181818182,0.0
0,7,stability_aware,0.0,0.0409090909090909,0.0
0,7,static,0.0612244897959183,0.8909090909090909,0.0
0,8,global_decay,0.0653266331658291,0.9045454545454544,0.0
0,8,stability_aware,0.0,0.0318181818181818,0.0
0,8,static,0.0637254901960784,0.9272727272727272,0.0
0,9,global_decay,0.0561224489795918,0.8909090909090909,0.0
0,9,stability_aware,0.1666666666666666,0.0272727272727272,0.0
0,9,static,0.0594059405940594,0.9181818181818182,0.0
0,10,global_decay,0.0841584158415841,0.9181818181818182,1.0
0,10,stability_aware,0.0,0.0318181818181818,1.0
0,10,static,0.0917874396135265,0.9409090909090908,1.0
0,11,global_decay,0.0717703349282296,0.95,0.0
0,11,stability_aware,0.1428571428571428,0.0318181818181818,0.0
0,11,static,0.0809523809523809,0.9545454545454546,0.0
0,12,global_decay,0.0483091787439613,0.9409090909090908,0.0
0,12,stability_aware,0.0,0.0227272727272727,0.0
0,12,static,0.070754716981132,0.9636363636363636,0.0
0,13,global_decay,0.048076923076923,0.9454545454545454,0.0
0,13,stability_aware,0.0,0.0227272727272727,0.0
0,13,static,0.0710900473933649,0.9590909090909092,0.0
0,14,global_decay,0.038647342995169,0.9409090909090908,0.0
0,14,stability_aware,0.0,0.0181818181818181,0.0
0,14,static,0.0700934579439252,0.9727272727272728,0.0
0,15,global_decay,0.038647342995169,0.9409090909090908,0.0
0,15,stability_aware,0.1666666666666666,0.0272727272727272,0.0
0,15,static,0.0651162790697674,0.9772727272727272,0.0
0,16,global_decay,0.0336538461538461,0.9454545454545454,0.0
0,16,stability_aware,0.1666666666666666,0.0272727272727272,0.0
0,16,static,0.0514018691588785,0.9727272727272728,0.0
0,17,global_decay,0.0334928229665071,0.95,0.0
0,17,stability_aware,0.0,0.0181818181818181,0.0
