query_id,subject,relation,timestamp,winner,runner,correct,certificate,fragility_cost,counter_evidence_cost,diversity,support,event_flip,window_flip,counter_flip
2,1426,160,204,4564,6522,0,0.5,1.0,0.009901778952990912,0.0,1.0,1,1,1
5,5395,56,90,1077,5922,1,0.7625025153333671,0.8021084326326614,0.5858925486861946,0.7228965980340727,5.0,0,0,0
6,5395,56,135,1077,6890,1,0.6885762152069779,0.8240936269645066,0.631742808827668,0.5530588034494492,9.0,0,0,0
7,5395,56,315,1077,6650,1,0.5,0.5004315467767222,0.28822715608119026,0.4995684532232778,18.0,1,1,1
8,5395,142,50,711,6788,0,0.5,0.6535133730018663,0.2520710857327487,0.3464866269981337,3.0,0,1,0
9,5395,142,115,711,6704,0,0.5796784954930699,0.6635073131077953,0.38477716981074683,0.49584967787834455,9.0,0,0,0
10,5395,142,155,711,6890,0,0.7184201265227648,0.7632461144792102,0.5711445661228952,0.6735941385663193,14.0,0,0,0
11,5395,142,361,5527,711,1,0.7740727906414295,0.9591083218472333,0.8041344055399176,0.5890372594356258,10.0,0,0,0
12,5395,142,94,6704,711,1,0.5,1.0,0.22341095950646336,0.0,3.0,0,1,0
14,5395,38,97,1503,1215,0,0.7968082560621874,0.7829539097744402,0.6359407482790038,0.8106626023499346,12.0,0,0,0
15,5395,38,99,1503,1215,0,0.7968082560621874,0.7829539097744401,0.6359407482789997,0.8106626023499346,12.0,0,0,0
16,5395,38,237,1503,1121,1,0.6425620922367872,0.523776492685626,0.35182722427741225,0.7613476917879485,22.0,0,0,0
17,5395,38,213,1503,1121,0,0.5753218361409023,0.37449930898718425,0.22716200781889706,0.7761443632946203,21.0,0,0,0
18,5395,38,350,1503,4283,1,0.5,0.47856653254589826,0.22468642823282817,0.5214334674541017,30.0,0,1,0
19,5395,38,281,1503,4283,1,0.5751257956210672,0.5206679414220355,0.3244914645561684,0.629583649820099,24.0,0,0,0
20,5395,38,229,1503,1121,0,0.5753218361409023,0.3744993089871843,0.2271620078188855,0.7761443632946203,21.0,0,0,0
21,5395,38,192,1503,1121,0,0.6686525200450979,0.5428947648411643,0.3627705474164189,0.7944102752490316,19.0,0,0,0
22,5395,207,177,711,3205,0,0.5,1.0,0.03461900655444864,0.0,1.0,1,1,1
23,5395,207,305,711,3205,0,0.5,1.0,0.03461900655385422,0.0,1.0,1,1,1
24,5395,160,270,1215,4117,0,0.5,1.0,0.07905153228865501,0.0,1.0,1,1,1
25,5395,160,66,873,2460,0,0.5,1.0,0.17637406352423185,0.0,1.0,1,1,1
26,5395,115,339,3262,2290,0,0.5,0.9978052706332818,0.540687654953163,0.002194729366718162,2.0,1,1,1
27,5395,115,313,2290,6635,0,0.5,1.0,0.10357478783706522,0.0,1.0,1,1,1
28,5395,42,90,1077,0,1,0.5,1.0,0.99999999999898,0.0,1.0,1,1,1
29,5395,53,289,4350,5474,0,0.5,1.0,0.3333333333331111,0.0,1.0,1,1,1
30,5395,222,152,6890,1503,0,0.5,1.0,0.09869865099266324,0.0,1.0,1,1,1
32,5395,47,244,6635,1077,0,0.5,1.0,0.027058425722276888,0.0,1.0,1,1,1
33,4702,53,304,956,3341,0,0.6477998521891533,0.5751720247760093,0.39581692948114705,0.7204276796022973,49.0,0,0,0
34,4702,53,12,3232,127,0,0.5,0.6732458497880726,0.1950930127357914,0.32675415021192744,3.0,1,1,1
35,4702,53,112,956,6200,0,0.5,0.27873507085801474,0.10498936805167593,0.7212649291419853,11.0,0,1,1
36,4702,53,207,956,3341,0,0.7690874025767878,0.8364272626597097,0.668984147671422,0.7017475424938657,32.0,0,0,0
37,4702,53,6,127,3232,0,0.0,0.0,0.0,0.0,1.0,1,1,1
38,4702,53,50,956,6293,1,0.5,0.45709932629124794,1.1461727325443685e-05,0.5429006737087521,4.0,1,1,1
